City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
201,Half Moon Bay,US,37.4636,-122.4286,51.87,96,100,5.75,mist
202,Venice,US,27.0998,-82.4543,70.99,82,40,6.91,scattered clouds
203,Dingle,PH,10.9995,122.6711,85.41,71,62,11.54,broken clouds
204,Smithers,CA,54.7804,-127.1743,1.72,78,0,4.61,clear sky
205,East London,ZA,-33.0153,27.9116,61.74,100,100,3.44,mist
206,Moose Factory,CA,51.2585,-80.6094,1.4,78,100,14.97,overcast clouds
207,Grand Gaube,MU,-20.0064,57.6608,79.38,64,14,8.01,few clouds
208,Guiong,PH,6.4186,122.0258,84.13,76,88,2.82,overcast clouds
209,Diamantina,BR,-18.2494,-43.6003,61.21,95,100,7.09,light rain
210,Koumac,NC,-20.5667,164.2833,78.66,83,100,4.59,moderate rain
211,Korla,CN,41.7597,86.1469,26.55,30,90,0.56,overcast clouds
212,Karangasem,ID,-8.45,115.6167,83.48,69,93,2.59,overcast clouds
213,Manjacaze,MZ,-24.7117,33.8828,75.72,85,33,9.1,scattered clouds
214,Barabai,ID,-2.5833,115.3833,87.58,65,99,2.15,heavy intensity rain
215,Luderitz,NA,-26.6481,15.1594,58.1,74,4,13.53,clear sky
216,Tyubuk,RU,56.0552,60.9405,6.75,87,60,11.72,broken clouds
217,Tabuk,PH,17.4189,121.4443,85.62,62,29,3.53,scattered clouds
218,Alice Springs,AU,-23.7,133.8833,94.55,10,0,13.8,clear sky
219,Hithadhoo,MV,-0.6,73.0833,82.76,70,100,10.22,overcast clouds
220,Kutum,SD,14.2,24.6667,57.4,31,4,7.56,clear sky
221,Waipawa,NZ,-41.4122,175.5153,67.14,52,9,2.82,clear sky
222,Pizarro,CO,4.9533,-77.366,74.05,91,27,4.68,light rain
223,Maniitsoq,GL,65.4167,-52.9,27.97,73,100,21.92,overcast clouds
224,Apatou,GF,5.155,-54.3472,71.55,99,99,2.53,overcast clouds
225,Altoona,US,40.5187,-78.3947,36.21,70,33,8.99,scattered clouds
226,Alofi,NU,-19.0595,-169.9187,85.89,70,95,8.05,overcast clouds
227,Chapais,CA,49.7834,-74.8492,15.58,91,100,13.56,overcast clouds
228,Kaeo,NZ,-35.1,173.7833,69.04,59,14,8.41,few clouds
229,Aswan,EG,24.0934,32.907,56.5,47,0,5.75,clear sky
230,Kalikino,RU,52.9493,39.8269,18.88,51,43,7.02,scattered clouds
231,Evans,US,33.5337,-82.1307,61.03,78,0,0.0,clear sky
232,Thinadhoo,MV,0.5333,72.9333,81.72,70,100,8.66,overcast clouds
233,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,92,100,17.9,shower snow
234,Inhambane,MZ,-23.865,35.3833,78.78,94,40,0.65,scattered clouds
235,Puerto Quijarro,BO,-17.7833,-57.7667,70.27,95,100,2.24,overcast clouds
236,Burnie,AU,-41.0667,145.9167,72.95,63,100,5.03,overcast clouds
237,Xichang,CN,27.8964,102.2634,57.88,50,0,3.02,clear sky
238,Cabo San Lucas,MX,22.8909,-109.9124,78.51,74,0,0.0,clear sky
239,Tura,IN,25.5198,90.2201,73.72,55,0,0.58,clear sky
240,Zamora,EC,-4.0692,-78.9567,64.4,98,70,4.65,broken clouds
241,Manicore,BR,-5.8092,-61.3003,72.84,96,93,1.36,overcast clouds
242,Pangnirtung,CA,66.1451,-65.7125,11.35,62,100,11.9,overcast clouds
243,Nuevo Progreso,MX,23.1667,-97.95,73.47,79,4,3.27,clear sky
244,Victoria,HK,22.2855,114.1577,75.25,80,54,11.99,broken clouds
245,Souillac,MU,-20.5167,57.5167,77.38,78,40,6.91,scattered clouds
246,Emmett,US,43.8735,-116.4993,31.17,76,34,8.01,scattered clouds
247,Syasstroy,RU,60.1367,32.5691,24.17,81,100,13.38,overcast clouds
248,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,6.91,scattered clouds
249,Isla Vista,US,34.4133,-119.861,61.79,93,100,3.44,overcast clouds
250,Mamallapuram,IN,12.6264,80.1722,82.45,73,100,14.41,overcast clouds
251,San Patricio,US,28.017,-97.5169,69.66,80,100,8.19,overcast clouds
252,Siilinjarvi,FI,63.0833,27.6667,23.02,93,100,3.44,overcast clouds
253,Pokhara,NP,28.2333,83.9833,68.05,34,0,3.91,clear sky
254,Cedar City,US,37.6775,-113.0619,38.37,65,0,0.0,clear sky
255,Vardo,NO,70.3705,31.1107,28.38,86,100,9.22,overcast clouds
256,Axim,GH,4.8699,-2.2405,76.84,87,88,0.43,overcast clouds
257,Kathu,TH,7.9178,98.3332,80.42,85,100,8.97,overcast clouds
258,Marabba,SD,12.35,32.1833,76.12,36,6,11.5,clear sky
259,Okha,RU,53.5739,142.9478,3.92,81,81,20.38,broken clouds
260,Severo-Kurilsk,RU,50.6789,156.125,34.97,78,64,18.19,broken clouds
261,Topolevo,RU,48.4994,135.1975,-1.88,44,3,22.37,clear sky
262,Oskarshamn,SE,57.2645,16.4484,33.98,81,100,10.16,overcast clouds
263,Talavera,PH,15.6167,120.9333,89.06,53,99,5.73,overcast clouds
264,Ban Chang,TH,12.7254,101.0553,85.59,66,40,6.91,scattered clouds
265,Cabral,DO,18.25,-71.2167,72.09,78,1,4.61,clear sky
266,Rawson,AR,-43.3002,-65.1023,67.32,32,45,16.64,scattered clouds
267,Padang,ID,-0.9492,100.3543,75.25,91,100,5.17,moderate rain
268,Quatre Cocos,MU,-20.2078,57.7625,79.09,68,22,10.04,few clouds
269,Kudahuvadhoo,MV,2.6708,72.8944,79.27,80,95,7.0,overcast clouds
270,Shihezi,CN,44.3,86.0333,14.36,88,100,3.71,overcast clouds
271,Australind,AU,-33.2667,115.7167,77.72,41,45,14.32,scattered clouds
272,Steamboat Springs,US,40.485,-106.8317,33.01,93,100,1.01,overcast clouds
273,Fortuna,US,40.5982,-124.1573,49.93,82,100,16.11,light rain
